user_id,session_id,auth_type,key,x,y,pressure,timestamp
genuine,1771628227215,pattern,swipe,274,473,1,1771628227821
genuine,1771628227215,pattern,swipe,275,476,1,1771628227839
genuine,1771628227215,pattern,swipe,276,478,1,1771628227855
genuine,1771628227215,pattern,swipe,276,479,1,1771628227905
genuine,1771628227215,pattern,swipe,276,479,1,1771628227922
genuine,1771628227215,pattern,swipe,276,479,1,1771628227939
genuine,1771628227215,pattern,swipe,276,480,1,1771628227955
genuine,1771628227215,pattern,swipe,276,480,1,1771628227972
genuine,1771628227215,pattern,swipe,276,480,1,1771628227989
genuine,1771628227215,pattern,swipe,277,480,1,1771628228003
genuine,1771628229088,pattern,swipe,81,336,1,1771628229090
genuine,1771628229088,pattern,swipe,81,336,1,1771628229095
genuine,1771628229088,pattern,swipe,81,336,1,1771628229119
genuine,1771628229088,pattern,swipe,90,333,1,1771628229129
genuine,1771628229088,pattern,swipe,96,331,1,1771628229136
genuine,1771628229088,pattern,swipe,119,327,1,1771628229153
genuine,1771628229088,pattern,swipe,133,326,1,1771628229170
genuine,1771628229088,pattern,swipe,160,325,1,1771628229187
genuine,1771628229088,pattern,swipe,185,323,1,1771628229203
genuine,1771628229088,pattern,swipe,210,321,1,1771628229220
genuine,1771628229088,pattern,swipe,258,322,1,1771628229253
genuine,1771628229088,pattern,swipe,236,321,1,1771628229236
genuine,1771628229088,pattern,swipe,289,326,1,1771628229286
genuine,1771628229088,pattern,swipe,299,329,1,1771628229303
genuine,1771628229088,pattern,swipe,304,332,1,1771628229321
genuine,1771628229088,pattern,swipe,308,334,1,1771628229336
genuine,1771628229088,pattern,swipe,309,335,1,1771628229354
genuine,1771628229088,pattern,swipe,310,336,1,1771628229370
genuine,1771628229088,pattern,swipe,311,338,1,1771628229386
genuine,1771628229088,pattern,swipe,311,340,1,1771628229403
genuine,1771628229088,pattern,swipe,311,343,1,1771628229419
genuine,1771628229088,pattern,swipe,309,352,1,1771628229436
genuine,1771628229088,pattern,swipe,304,366,1,1771628229452
genuine,1771628229088,pattern,swipe,299,381,1,1771628229470
genuine,1771628229088,pattern,swipe,294,401,1,1771628229486
genuine,1771628229088,pattern,swipe,289,424,1,1771628229503
genuine,1771628229088,pattern,swipe,285,466,1,1771628229537
genuine,1771628229088,pattern,swipe,286,447,1,1771628229520
genuine,1771628229088,pattern,swipe,285,480,1,1771628229553
genuine,1771628229088,pattern,swipe,286,491,1,1771628229569
genuine,1771628229088,pattern,swipe,286,500,1,1771628229586
